"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=215/55040, ttl=64 (reply in 2)"
"2","0.000047859","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=215/55040, ttl=64 (request in 1)"
"3","1.023964333","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=216/55296, ttl=64 (reply in 4)"
"4","1.023998125","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=216/55296, ttl=64 (request in 3)"
"5","2.047996454","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=217/55552, ttl=64 (reply in 6)"
"6","2.048030256","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=217/55552, ttl=64 (request in 5)"
"7","3.072341814","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=218/55808, ttl=64 (reply in 8)"
"8","3.072416041","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=218/55808, ttl=64 (request in 7)"
"9","4.099958078","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=219/56064, ttl=64 (reply in 10)"
"10","4.099985148","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=219/56064, ttl=64 (request in 9)"
"11","5.120082292","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=220/56320, ttl=64 (reply in 12)"
"12","5.120197855","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=220/56320, ttl=64 (request in 11)"
"13","6.144391743","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=221/56576, ttl=64 (reply in 14)"
"14","6.144473263","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=221/56576, ttl=64 (request in 13)"
"15","7.168221029","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=222/56832, ttl=64 (reply in 16)"
