"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","02:42:c7:f2:77:18","02:42:ac:11:00:03","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18"
"2","0.057071964","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0003, seq=75/19200, ttl=64 (reply in 3)"
"3","0.057115346","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0003, seq=75/19200, ttl=64 (request in 2)"
"4","0.088785140","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0004, seq=27/6912, ttl=64 (reply in 5)"
"5","0.088819345","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0004, seq=27/6912, ttl=64 (request in 4)"
"6","0.701559270","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.3 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.4 detected!)"
"7","1.080767294","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0003, seq=76/19456, ttl=64 (reply in 8)"
"8","1.080795258","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0003, seq=76/19456, ttl=64 (request in 7)"
"9","1.112782724","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0004, seq=28/7168, ttl=64 (reply in 10)"
"10","1.112814014","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0004, seq=28/7168, ttl=64 (request in 9)"
"11","2.000184737","02:42:c7:f2:77:18","02:42:ac:11:00:03","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18"
"12","2.104795481","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0003, seq=77/19712, ttl=64 (reply in 13)"
"13","2.104828423","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0003, seq=77/19712, ttl=64 (request in 12)"
"14","2.136778237","02:42:ac:11:00:02","02:42:ac:11:00:03","ARP","42","Who has 172.17.0.3? Tell 172.17.0.2"
"15","2.136881874","02:42:ac:11:00:03","02:42:ac:11:00:02","ARP","42","172.17.0.3 is at 02:42:ac:11:00:03"
"16","2.136857878","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0004, seq=29/7424, ttl=64 (reply in 17)"
"17","2.136927030","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0004, seq=29/7424, ttl=64 (request in 16)"
"18","2.701680383","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.3 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.4 detected!)"
"19","3.128777522","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0003, seq=78/19968, ttl=64 (reply in 20)"
"20","3.128805294","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0003, seq=78/19968, ttl=64 (request in 19)"
"21","3.161018157","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0004, seq=30/7680, ttl=64 (reply in 22)"
"22","3.161107156","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0004, seq=30/7680, ttl=64 (request in 21)"
"23","4.000318355","02:42:c7:f2:77:18","02:42:ac:11:00:03","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18"
"24","4.152816574","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0003, seq=79/20224, ttl=64 (reply in 25)"
"25","4.152859155","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0003, seq=79/20224, ttl=64 (request in 24)"
"26","4.184766905","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0004, seq=31/7936, ttl=64 (reply in 27)"
"27","4.184792664","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0004, seq=31/7936, ttl=64 (request in 26)"
"28","4.639529922","fe80::42:c7ff:fef2:7718","ff02::fb","MDNS","238","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _nmea-0183._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _pgpkey-hkp._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question"
"29","4.701825369","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.3 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.4 detected!)"
"30","5.177218068","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0003, seq=80/20480, ttl=64 (reply in 31)"
"31","5.177273673","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0003, seq=80/20480, ttl=64 (request in 30)"
"32","5.208787313","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0004, seq=32/8192, ttl=64 (reply in 33)"
"33","5.208816658","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0004, seq=32/8192, ttl=64 (request in 32)"
"34","6.000459528","02:42:c7:f2:77:18","02:42:ac:11:00:03","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18"
"35","6.200765402","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0003, seq=81/20736, ttl=64 (reply in 36)"
"36","6.200793746","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0003, seq=81/20736, ttl=64 (request in 35)"
"37","6.236859371","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0004, seq=33/8448, ttl=64 (reply in 38)"
"38","6.236892745","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0004, seq=33/8448, ttl=64 (request in 37)"
"39","6.702012158","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.3 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.4 detected!)"
"40","7.224854241","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0003, seq=82/20992, ttl=64 (reply in 41)"
"41","7.224921048","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0003, seq=82/20992, ttl=64 (request in 40)"
"42","7.257019917","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0004, seq=34/8704, ttl=64 (reply in 43)"
"43","7.257098948","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0004, seq=34/8704, ttl=64 (request in 42)"
"44","8.000645936","02:42:c7:f2:77:18","02:42:ac:11:00:03","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18"
"45","8.249207219","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0003, seq=83/21248, ttl=64 (reply in 46)"
"46","8.249273375","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0003, seq=83/21248, ttl=64 (request in 45)"
