"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.3 is at 02:42:c7:f2:77:18"
"2","0.189715579","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=11/2816, ttl=64 (no response found!)"
"3","0.189783837","172.17.0.1","172.17.0.4","ICMP","126","Redirect             (Redirect for host)"
"4","0.189804175","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=11/2816, ttl=63 (reply in 5)"
"5","0.189838019","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=11/2816, ttl=64 (request in 4)"
"6","0.189856754","172.17.0.1","172.17.0.2","ICMP","126","Redirect             (Redirect for host)"
"7","0.189866923","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=11/2816, ttl=63"
"8","0.221916393","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=566/13826, ttl=64 (reply in 9)"
"9","0.221996854","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=566/13826, ttl=64 (request in 8)"
"10","0.462989936","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.2 is at 02:42:c7:f2:77:18"
"11","1.213548881","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=12/3072, ttl=64 (no response found!)"
"12","1.213594967","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=12/3072, ttl=63 (reply in 13)"
"13","1.213626396","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=12/3072, ttl=64 (request in 12)"
"14","1.213649640","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=12/3072, ttl=63"
"15","1.245770465","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=567/14082, ttl=64 (reply in 16)"
"16","1.245833403","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=567/14082, ttl=64 (request in 15)"
"17","1.267391845","02:42:c7:f2:77:18","02:42:ac:11:00:02","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.2 detected!)"
"18","1.460277372","02:42:c7:f2:77:18","02:42:ac:11:00:03","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.3 detected!)"
"19","2.000192814","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.3 is at 02:42:c7:f2:77:18"
"20","2.237714855","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=13/3328, ttl=64 (no response found!)"
"21","2.237741345","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=13/3328, ttl=63 (reply in 22)"
"22","2.237756303","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=13/3328, ttl=64 (request in 21)"
"23","2.237762825","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=13/3328, ttl=63"
"24","2.269732219","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=568/14338, ttl=64 (reply in 25)"
"25","2.269795347","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=568/14338, ttl=64 (request in 24)"
"26","2.463541839","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.2 is at 02:42:c7:f2:77:18"
